CELL10MIN,xcoord,ycoord,lake
935,-86.41666794,47.58334541,SU
936,-86.25,47.58334541,SU
937,-86.08333206,47.58334541,SU
938,-85.91666794,47.58334541,SU
939,-85.75,47.58334541,SU
940,-85.58333206,47.58334541,SU
941,-85.41666794,47.58334541,SU
942,-85.25,47.58334541,SU
943,-85.08333206,47.58334541,SU
944,-84.91666794,47.58334541,SU
1001,-87.91666412,44.58334541,MI
1003,-83.08333206,41.41667175,ER
1004,-82.91666794,41.41667175,ER
1004,-87.41666794,44.58334541,MI
1005,-82.75,41.41667175,ER
1005,-87.25,44.58334541,MI
1006,-82.58333206,41.41667175,ER
1006,-87.08333206,44.58334541,MI
1007,-82.41666794,41.41667175,ER
1007,-86.91666794,44.58334541,MI
1007,-91.16666794,47.41667557,SU
1008,-82.25,41.41667175,ER
1008,-86.75,44.58334541,MI
1008,-90.91666794,47.41667557,SU
1009,-82.08333206,41.41667175,ER
1009,-86.58333206,44.58334541,MI
1009,-90.75,47.41667557,SU
1010,-81.91666794,41.41667175,ER
1010,-83.25,44.75001526,HU
1010,-86.41666794,44.58334541,MI
1010,-90.58333206,47.41667557,SU
1011,-81.75,41.41667175,ER
1011,-83.08333206,44.75001526,HU
1011,-86.25,44.58334541,MI
1011,-90.41666794,47.41667557,SU
1012,-82.91666794,44.75001526,HU
1012,-90.25,47.41667557,SU
1013,-82.75,44.75001526,HU
1013,-90.08333206,47.41667557,SU
1014,-82.58333206,44.75001526,HU
1014,-89.91666794,47.41667557,SU
1015,-82.41666794,44.75001526,HU
1015,-89.75,47.41667557,SU
1016,-82.25,44.75001526,HU
1016,-89.58333206,47.41667557,SU
1017,-82.08333206,44.75001526,HU
1017,-89.41666794,47.41667557,SU
1018,-81.91666794,44.75001526,HU
1018,-89.25,47.41667557,SU
1019,-81.75,44.75001526,HU
1019,-89.08333206,47.41667557,SU
1020,-81.58333206,44.75001526,HU
1020,-88.91666794,47.41667557,SU
1021,-81.41666794,44.75001526,HU
1021,-88.75,47.41667557,SU
1022,-81.25,44.75001526,HU
1022,-88.58333206,47.41667557,SU
1023,-81.08333206,44.75001526,HU
1023,-88.41666794,47.3333416,SU
1024,-80.91666794,44.75001526,HU
1024,-88.25,47.41667557,SU
1025,-80.75,44.75001526,HU
1026,-80.58333206,44.75001526,HU
1026,-87.91666794,47.41667557,SU
1027,-80.41666794,44.75001526,HU
1027,-87.75,47.41667557,SU
1028,-80.25,44.75001526,HU
